Estacion,datetime,hour,month,dayofweek,year,is_weekend,NO2,PM2.5,PM1.0
BASE AÉREA,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
CAÑAVERALEJO,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
LA ERMITA,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
LA FLORA,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
P_2. ERA OBRERO,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
TRANSITORIA-NAVARRO,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
UNIVERSIDAD DEL VALLE,2020-01-01 00:00:00,0,1,2,2020,0,8.98,15.75,10.24
BASE AÉREA,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
CAÑAVERALEJO,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
LA ERMITA,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
LA FLORA,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
P_2. ERA OBRERO,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
TRANSITORIA-NAVARRO,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
UNIVERSIDAD DEL VALLE,2020-01-01 01:00:00,1,1,2,2020,0,5.48,26.71,17.36
BASE AÉREA,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
CAÑAVERALEJO,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
LA ERMITA,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
LA FLORA,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
P_2. ERA OBRERO,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
TRANSITORIA-NAVARRO,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
UNIVERSIDAD DEL VALLE,2020-01-01 02:00:00,2,1,2,2020,0,3.67,34.61,22.5
BASE AÉREA,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
CAÑAVERALEJO,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
LA ERMITA,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
LA FLORA,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
P_2. ERA OBRERO,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
TRANSITORIA-NAVARRO,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
UNIVERSIDAD DEL VALLE,2020-01-01 03:00:00,3,1,2,2020,0,3.0,31.38,20.4
BASE AÉREA,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
CAÑAVERALEJO,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
LA ERMITA,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
LA FLORA,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
P_2. ERA OBRERO,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
TRANSITORIA-NAVARRO,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
UNIVERSIDAD DEL VALLE,2020-01-01 04:00:00,4,1,2,2020,0,3.83,22.03,14.32
BASE AÉREA,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
CAÑAVERALEJO,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
LA ERMITA,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
LA FLORA,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
P_2. ERA OBRERO,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
TRANSITORIA-NAVARRO,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
UNIVERSIDAD DEL VALLE,2020-01-01 05:00:00,5,1,2,2020,0,6.31,11.1,7.21
BASE AÉREA,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
CAÑAVERALEJO,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
LA ERMITA,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
LA FLORA,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
P_2. ERA OBRERO,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
TRANSITORIA-NAVARRO,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
UNIVERSIDAD DEL VALLE,2020-01-01 06:00:00,6,1,2,2020,0,7.94,11.92,7.75
BASE AÉREA,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
CAÑAVERALEJO,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
LA ERMITA,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
LA FLORA,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
P_2. ERA OBRERO,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
TRANSITORIA-NAVARRO,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
UNIVERSIDAD DEL VALLE,2020-01-01 07:00:00,7,1,2,2020,0,11.29,9.7,6.3
BASE AÉREA,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
CAÑAVERALEJO,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
LA ERMITA,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
LA FLORA,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
P_2. ERA OBRERO,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
TRANSITORIA-NAVARRO,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
UNIVERSIDAD DEL VALLE,2020-01-01 08:00:00,8,1,2,2020,0,16.35,8.89,5.78
BASE AÉREA,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
CAÑAVERALEJO,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
LA ERMITA,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
LA FLORA,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
P_2. ERA OBRERO,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
TRANSITORIA-NAVARRO,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
UNIVERSIDAD DEL VALLE,2020-01-01 09:00:00,9,1,2,2020,0,15.15,6.5,4.23
BASE AÉREA,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
CAÑAVERALEJO,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
LA ERMITA,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
LA FLORA,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
P_2. ERA OBRERO,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
TRANSITORIA-NAVARRO,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
UNIVERSIDAD DEL VALLE,2020-01-01 10:00:00,10,1,2,2020,0,11.56,13.86,9.01
BASE AÉREA,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
CAÑAVERALEJO,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
LA ERMITA,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
LA FLORA,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
P_2. ERA OBRERO,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
TRANSITORIA-NAVARRO,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
UNIVERSIDAD DEL VALLE,2020-01-01 11:00:00,11,1,2,2020,0,7.89,10.9,7.09
BASE AÉREA,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
CAÑAVERALEJO,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
LA ERMITA,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
LA FLORA,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
P_2. ERA OBRERO,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
TRANSITORIA-NAVARRO,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
UNIVERSIDAD DEL VALLE,2020-01-01 12:00:00,12,1,2,2020,0,5.73,11.63,7.56
BASE AÉREA,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
CAÑAVERALEJO,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
LA ERMITA,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
LA FLORA,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
P_2. ERA OBRERO,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
TRANSITORIA-NAVARRO,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
UNIVERSIDAD DEL VALLE,2020-01-01 13:00:00,13,1,2,2020,0,5.77,11.31,7.35
BASE AÉREA,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
CAÑAVERALEJO,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
LA ERMITA,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
LA FLORA,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
P_2. ERA OBRERO,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
TRANSITORIA-NAVARRO,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
UNIVERSIDAD DEL VALLE,2020-01-01 14:00:00,14,1,2,2020,0,6.95,9.13,5.93
BASE AÉREA,2020-01-01 15:00:00,15,1,2,2020,0,7.31,9.71,6.31
