"Estacion","Fecha inicial","Fecha final","SO2"
"BASE AÉREA","2020-10-15 07:00","2020-10-15 07:59","14.77"
"BASE AÉREA","2020-10-15 06:00","2020-10-15 06:59","0.0056"
"BASE AÉREA","2020-10-15 05:00","2020-10-15 05:59","0.0054"
"BASE AÉREA","2020-10-15 04:00","2020-10-15 04:59","0.0047"
"BASE AÉREA","2020-10-15 03:00","2020-10-15 03:59","0.0046"
"BASE AÉREA","2020-10-15 02:00","2020-10-15 02:59","0.0046"
"BASE AÉREA","2020-10-15 01:00","2020-10-15 01:59","0.0047"
"BASE AÉREA","2020-10-15 00:00","2020-10-15 00:59","0.0048"
"BASE AÉREA","2020-10-14 23:00","2020-10-14 23:59","0.005"
"BASE AÉREA","2020-10-14 22:00","2020-10-14 22:59","0.0052"
"BASE AÉREA","2020-10-14 21:00","2020-10-14 21:59","0.0053"
"BASE AÉREA","2020-10-14 08:00","2020-10-14 08:59","0.0055"
"BASE AÉREA","2020-10-14 07:00","2020-10-14 07:59","0.0059"
"BASE AÉREA","2020-10-14 06:00","2020-10-14 06:59","0.0051"
"BASE AÉREA","2020-10-14 05:00","2020-10-14 05:59","0.0047"
"BASE AÉREA","2020-10-14 04:00","2020-10-14 04:59","0.0042"
"BASE AÉREA","2020-10-14 03:00","2020-10-14 03:59","0.0043"
"BASE AÉREA","2020-10-14 02:00","2020-10-14 02:59","0.0041"
"BASE AÉREA","2020-10-14 01:00","2020-10-14 01:59","0.0042"
"BASE AÉREA","2020-10-14 00:00","2020-10-14 00:59","0.0044"
"BASE AÉREA","2020-10-13 23:00","2020-10-13 23:59","0.0045"
"BASE AÉREA","2020-10-13 22:00","2020-10-13 22:59","0.0052"
"BASE AÉREA","2020-10-13 21:00","2020-10-13 21:59","0.0051"
"BASE AÉREA","2020-10-13 20:00","2020-10-13 20:59","0.0052"
"BASE AÉREA","2020-10-13 19:00","2020-10-13 19:59","0.0046"
"BASE AÉREA","2020-10-13 18:00","2020-10-13 18:59","0.0046"
"BASE AÉREA","2020-10-13 17:00","2020-10-13 17:59","0.0049"
"BASE AÉREA","2020-10-13 16:00","2020-10-13 16:59","0.0063"
"BASE AÉREA","2020-10-13 15:00","2020-10-13 15:59","0.0082"
"BASE AÉREA","2020-10-13 14:00","2020-10-13 14:59","0.0068"
"BASE AÉREA","2020-10-13 13:00","2020-10-13 13:59","0.006"
"BASE AÉREA","2020-10-13 12:00","2020-10-13 12:59","0.0064"
"BASE AÉREA","2020-10-13 11:00","2020-10-13 11:59","0.0078"
"BASE AÉREA","2020-10-13 10:00","2020-10-13 10:59","0.007"
"BASE AÉREA","2020-10-13 09:00","2020-10-13 09:59","0.0058"
"BASE AÉREA","2020-10-13 08:00","2020-10-13 08:59","0.0054"
"BASE AÉREA","2020-10-13 07:00","2020-10-13 07:59","0.0056"
"BASE AÉREA","2020-10-13 06:00","2020-10-13 06:59","0.0055"
"BASE AÉREA","2020-10-13 05:00","2020-10-13 05:59","0.0049"
"BASE AÉREA","2020-10-13 04:00","2020-10-13 04:59","0.0043"
"BASE AÉREA","2020-10-13 03:00","2020-10-13 03:59","0.0042"
"BASE AÉREA","2020-10-13 02:00","2020-10-13 02:59","0.0042"
"BASE AÉREA","2020-10-13 01:00","2020-10-13 01:59","0.0044"
"BASE AÉREA","2020-10-13 00:00","2020-10-13 00:59","0.0045"
"BASE AÉREA","2020-10-12 23:00","2020-10-12 23:59","0.0049"
"BASE AÉREA","2020-10-12 22:00","2020-10-12 22:59","0.0052"
"BASE AÉREA","2020-10-12 21:00","2020-10-12 21:59","0.005"
"BASE AÉREA","2020-10-12 20:00","2020-10-12 20:59","0.0043"
"BASE AÉREA","2020-10-12 19:00","2020-10-12 19:59","0.0045"
"BASE AÉREA","2020-10-12 18:00","2020-10-12 18:59","0.0045"
"BASE AÉREA","2020-10-12 17:00","2020-10-12 17:59","0.0045"
"BASE AÉREA","2020-10-12 16:00","2020-10-12 16:59","0.0046"
"BASE AÉREA","2020-10-12 15:00","2020-10-12 15:59","0.0045"
"BASE AÉREA","2020-10-12 14:00","2020-10-12 14:59","0.0049"
"BASE AÉREA","2020-10-12 13:00","2020-10-12 13:59","0.0063"
"BASE AÉREA","2020-10-12 12:00","2020-10-12 12:59","0.0059"
"BASE AÉREA","2020-10-12 11:00","2020-10-12 11:59","0.0067"
"BASE AÉREA","2020-10-12 10:00","2020-10-12 10:59","0.0077"
"BASE AÉREA","2020-10-12 09:00","2020-10-12 09:59","0.0083"
"BASE AÉREA","2020-10-12 08:00","2020-10-12 08:59","0.005"
"BASE AÉREA","2020-10-12 07:00","2020-10-12 07:59","0.0042"
"BASE AÉREA","2020-10-12 06:00","2020-10-12 06:59","0.0046"
"BASE AÉREA","2020-10-12 05:00","2020-10-12 05:59","0.0043"
"BASE AÉREA","2020-10-12 04:00","2020-10-12 04:59","0.0043"
"BASE AÉREA","2020-10-12 03:00","2020-10-12 03:59","0.0042"
"BASE AÉREA","2020-10-12 02:00","2020-10-12 02:59","0.0044"
"BASE AÉREA","2020-10-12 01:00","2020-10-12 01:59","0.0046"
"BASE AÉREA","2020-10-12 00:00","2020-10-12 00:59","0.0046"
"BASE AÉREA","2020-10-11 23:00","2020-10-11 23:59","0.0047"
"BASE AÉREA","2020-10-11 22:00","2020-10-11 22:59","0.0044"
